"ITEM","DMDUNIT","MAX_DATE","BASEPRICE","LOC","SPZONE","PMZONE","U_COUNTRY"
"220233368","220236565_NOCOLOUR",01-MAR-22,3.8,"308630003","7_79","8_252","OMN"
"220233368","220236565_NOCOLOUR",01-MAR-22,3.8,"307390003","7_79","8_252","OMN"
"220233368","220236565_NOCOLOUR",01-MAR-22,3.8,"307490003","7_79","8_252","OMN"
"220236158","220236566_NOCOLOUR",01-MAR-22,0.6138,"308630003","7_79","8_252","OMN"
"220236158","220236566_NOCOLOUR",01-MAR-22,0.6138,"307390003","7_79","8_252","OMN"
"220236158","220236566_NOCOLOUR",01-MAR-22,0.6138,"307490003","7_79","8_252","OMN"
"220235163","220236568_NOCOLOUR",07-APR-22,0.5,"308630003","7_79","8_252","OMN"
"220235163","220236568_NOCOLOUR",07-APR-22,0.5,"307390003","7_79","8_252","OMN"
"220235163","220236568_NOCOLOUR",07-APR-22,0.5,"307490003","7_79","8_252","OMN"
"220231278","220236570_NOCOLOUR",09-DEC-21,4.02,"308630003","7_79","8_252","OMN"
"220231278","220236570_NOCOLOUR",09-DEC-21,4.02,"307390003","7_79","8_252","OMN"
"220231278","220236570_NOCOLOUR",09-DEC-21,4.02,"307490003","7_79","8_252","OMN"
"220230579","220236571_NOCOLOUR",16-APR-21,8.19,"308630003","7_79","8_252","OMN"
"220230579","220236571_NOCOLOUR",16-APR-21,8.19,"307390003","7_79","8_252","OMN"
"220230579","220236571_NOCOLOUR",16-APR-21,8.19,"307490003","7_79","8_252","OMN"
"220220331","220236577_NOCOLOUR",16-APR-21,3.15,"308630003","7_79","8_252","OMN"
"220220331","220236577_NOCOLOUR",16-APR-21,3.15,"307390003","7_79","8_252","OMN"
"220220331","220236577_NOCOLOUR",16-APR-21,3.15,"307490003","7_79","8_252","OMN"
"220221986","220236589_NOCOLOUR",01-MAR-22,6.7843,"308630003","7_79","8_252","OMN"
"220221986","220236589_NOCOLOUR",01-MAR-22,6.7843,"307390003","7_79","8_252","OMN"
"220221986","220236589_NOCOLOUR",01-MAR-22,6.7843,"307490003","7_79","8_252","OMN"
"220218649","220236592_NOCOLOUR",16-APR-21,3.045,"308630003","7_79","8_252","OMN"
"220218649","220236592_NOCOLOUR",16-APR-21,3.045,"307390003","7_79","8_252","OMN"
"220218649","220236592_NOCOLOUR",16-APR-21,3.045,"307490003","7_79","8_252","OMN"
"220220735","220236594_NOCOLOUR",16-APR-21,2.73,"308630003","7_79","8_252","OMN"
"220220735","220236594_NOCOLOUR",16-APR-21,2.73,"307390003","7_79","8_252","OMN"
"220220735","220236594_NOCOLOUR",16-APR-21,2.73,"307490003","7_79","8_252","OMN"
"220239527","220236680_NOCOLOUR",15-FEB-22,5.04,"308630003","7_79","8_252","OMN"
"220239527","220236680_NOCOLOUR",15-FEB-22,5.04,"307390003","7_79","8_252","OMN"
"220239527","220236680_NOCOLOUR",15-FEB-22,5.04,"307490003","7_79","8_252","OMN"
"220240206","220236777_NOCOLOUR",03-JAN-22,17.7532,"308630003","7_79","8_252","OMN"
"220240206","220236777_NOCOLOUR",03-JAN-22,17.7532,"307390003","7_79","8_252","OMN"
"220240206","220236777_NOCOLOUR",03-JAN-22,17.7532,"307490003","7_79","8_252","OMN"
"220237267","220236867_NOCOLOUR",03-JAN-22,2.6376,"308630003","7_79","8_252","OMN"
"220237267","220236867_NOCOLOUR",03-JAN-22,2.6376,"307390003","7_79","8_252","OMN"
"220237267","220236867_NOCOLOUR",03-JAN-22,2.6376,"307490003","7_79","8_252","OMN"
"220215820","220236941_NOCOLOUR",16-FEB-22,0.998,"308630003","7_79","8_252","OMN"
"220215820","220236941_NOCOLOUR",16-FEB-22,0.998,"307390003","7_79","8_252","OMN"
"220215820","220236941_NOCOLOUR",16-FEB-22,0.998,"307490003","7_79","8_252","OMN"
"220238670","220237037_NOCOLOUR",15-FEB-22,3.4,"308630003","7_79","8_252","OMN"
"220238670","220237037_NOCOLOUR",15-FEB-22,3.4,"307390003","7_79","8_252","OMN"
"220238670","220237037_NOCOLOUR",15-FEB-22,3.4,"307490003","7_79","8_252","OMN"
"220203970","220237041_NOCOLOUR",16-FEB-22,7.14,"308630003","7_79","8_252","OMN"
"220203970","220237041_NOCOLOUR",16-FEB-22,7.14,"307390003","7_79","8_252","OMN"
"220203970","220237041_NOCOLOUR",16-FEB-22,7.14,"307490003","7_79","8_252","OMN"
"220239417","220237050_NOCOLOUR",15-FEB-22,11.6,"308630003","7_79","8_252","OMN"
"220239417","220237050_NOCOLOUR",15-FEB-22,11.6,"307390003","7_79","8_252","OMN"
"220239417","220237050_NOCOLOUR",15-FEB-22,11.6,"307490003","7_79","8_252","OMN"
"220239599","220237236_NOCOLOUR",03-JAN-22,0.0025,"308630003","7_79","8_252","OMN"
"220239599","220237236_NOCOLOUR",03-JAN-22,0.0025,"307390003","7_79","8_252","OMN"
"220239599","220237236_NOCOLOUR",03-JAN-22,0.0025,"307490003","7_79","8_252","OMN"
